minutes,fid
1.388308175,0.437659545
1.389141493,0.438148429
1.389974812,0.43913858
1.39080813,0.440011453
1.391641448,0.440227381
1.392474766,0.439988298
1.393308084,0.441121471
1.394141403,0.443220522
1.394974721,0.443608328
1.395808039,0.44315229
1.396641357,0.440386407
1.397474676,0.43963268
1.398307994,0.440622664
1.399141312,0.441761014
1.39997463,0.44266532
1.400807949,0.441806326
1.401641267,0.440716477
1.402474585,0.435759961
1.403307903,0.430787178
1.404141221,0.428594295
1.40497454,0.429393646
1.405807858,0.430825441
1.406641176,0.429984936
1.407474494,0.429680942
1.408307813,0.429447815
1.409141131,0.42926201
1.409974449,0.430669561
1.410807767,0.432720744
1.411641086,0.436418817
1.412474404,0.435979679
1.413307722,0.433373685
1.41414104,0.431952969
1.414974359,0.432521942
1.415807677,0.43461357
1.416640995,0.43568201
1.417474313,0.434572316
1.418307631,0.433967566
1.41914095,0.43221725
1.419974268,0.431976823
1.420807586,0.43286154
1.421640904,0.434194058
1.422474223,0.435642897
1.423307541,0.43487737
1.424140859,0.435403265
1.424974177,0.435582815
1.425807496,0.435994688
1.426640814,0.434213994
1.427474132,0.432296567
1.42830745,0.431056718
1.429140768,0.429933713
1.429974087,0.42886213
1.430807405,0.428323781
1.431640723,0.427524431
1.432474041,0.427154737
1.43330736,0.426761821
1.434140678,0.428934594
1.434973996,0.4305967
1.435807314,0.430944651
1.436640633,0.430836179
1.437473951,0.431605796
1.438307269,0.433099325
1.439140587,0.433246987
1.439973905,0.432588359
1.440807224,0.433587665
1.441640542,0.440043072
1.44247386,0.454703722
1.443307178,0.458421862
1.444140497,0.451564134
1.444973815,0.438740374
1.445807133,0.435103958
1.446640451,0.436295286
1.44747377,0.436087581
1.448307088,0.433991843
1.449140406,0.433062538
1.449973724,0.4333995
1.450807043,0.435391361
1.451640361,0.43750439
1.452473679,0.436199385
1.453306997,0.433459346
1.454140315,0.431440386
1.454973634,0.430211059
1.455806952,0.432139909
1.45664027,0.433226227
1.457473588,0.435838877
1.458306907,0.435749894
1.459140225,0.434586045
1.459973543,0.431614118
1.460806861,0.431522235
1.46164018,0.432522463
1.462473498,0.434013792
1.463306816,0.434262131
1.464140134,0.435022215
1.464973452,0.43426101
1.465806771,0.430675283
1.466640089,0.426468389
1.467473407,0.42526144
1.468306725,0.428323724
1.469140044,0.430707374
1.469973362,0.430975236
1.47080668,0.427655753
1.471639998,0.426086348
1.472473317,0.425809765
1.473306635,0.427365583
1.474139953,0.427005255
1.474973271,0.425489662
1.475806589,0.425439457
1.476639908,0.426400763
1.477473226,0.428793458
1.478306544,0.430918908
1.479139862,0.43209997
1.479973181,0.433374154
1.480806499,0.432706393
1.481639817,0.432247155
1.482473135,0.43088825
1.483306454,0.429569323
1.484139772,0.429587896
1.48497309,0.43149818
1.485806408,0.433138052
1.486639726,0.433013125
1.487473045,0.430928631
1.488306363,0.429023582
1.489139681,0.425262188
1.489972999,0.421594672
1.490806318,0.418586512
1.491639636,0.418821451
1.492472954,0.422011524
1.493306272,0.425349097
1.494139591,0.428990447
1.494972909,0.429324998
1.495806227,0.429370204
1.496639545,0.428392766
1.497472864,0.42812385
1.498306182,0.429894322
1.4991395,0.430351017
1.499972818,0.430188224
1.500806136,0.428179541
1.501639455,0.42795788
1.502472773,0.429150286
1.503306091,0.429175581
1.504139409,0.427813043
1.504972728,0.427161894
1.505806046,0.426895911
1.506639364,0.426674695
1.507472682,0.425039034
1.508306001,0.422843429
1.509139319,0.421773947
1.509972637,0.421535231
