filmtype,dart,elongation-MD,elongation-TD,modulus-MD,modulus-TD,strength-MD,strength-TD
BOPP,0.6236772,150,57.58,1798,2750,116,247
BOPP,0.5830026,194,33.2,1773,2735,120,206
BOPP,0.5830026,196,42.25,1769,2827,125,229
BOPP,0.5694444,150,53.39,1740,2995,104,241
BOPP,0.5152116,198,42.95,1669,2865,120,222
BOPP,0.6507936,184,46.48,1909,3149,162,280
BOPP,0.8677248,156,55.57,1865,3071,145,288
BOPP,0.9761904,150,60.17,1712,3177,142,297
BOPP,0.9219576,173,60.87,1906,3201,155,312
BOPP,0.949074,137,55.14,1858,3146,139,299
BOPP,0.610119,196,62.16,2090,3346,102,267
BOPP,0.6914682,241,47.73,2123,3379,115,252
BOPP,0.610119,241,38.18,2060,3338,114,250
BOPP,0.6507936,224,50.45,2151,3509,108,250
BOPP,0.6643518,252,40.52,2184,3304,121,247
BOPP,0.6507936,150,48.95,1486,2412,119,233
BOPP,0.6643518,166,39.45,1594,2366,131,222
BOPP,0.67791,149,47.23,1501,2488,127,235
BOPP,0.5965608,157,32.46,1613,2393,124,204
BOPP,0.67791,180,41,1455,2527,135,226
BOPP,0.6914682,190,15.27,1981,3302,114,240
BOPP,0.7592592,210,11.37,2064,3344,126,216
BOPP,0.7592592,204,14.65,2030,3371,125,236
BOPP,0.7999338,201,11.65,1917,3270,119,223
BOPP,0.6236772,210,15.31,2022,3522,125,240
BOPP,0.3660714,124,139,4944,4815,246,237
BOPP,0.3796296,135,139,5271,4992,232,239
BOPP,0.3931878,141,139,5273,5049,237,224
BOPP,0.406746,136,119,5278,4793,223,243
BOPP,0.3796296,142,145,5268,4844,255,236
BOPP,0.542328,173,42.45,1525,2626,78,217
BOPP,0.610119,202,34.27,1500,2530,87,207
BOPP,0.6372354,191,42.19,1513,2584,83,218
BOPP,0.610119,218,44.15,1416,2620,87,221
BOPP,0.5558862,206,41.75,1556,2919,86,222
BOPP,0.9626322,213,29.2,1992,3393,138,222
BOPP,0.949074,193,41.47,1947,3220,130,248
BOPP,0.9897486,187,33.45,1911,3184,128,231
BOPP,0.9897486,185,40.83,1935,3120,125,259
BOPP,0.9083994,195,31.72,1949,3194,131,231
BOPP,0.813492,148,61.9,1985,3691,140,309
BOPP,0.745701,161,41.7,2197,3739,159,275
BOPP,0.813492,160,42.42,2198,3842,136,275
BOPP,0.7592592,143,50.75,2197,3740,128,291
BOPP,0.881283,191,34.61,2231,3577,149,259
BOPP,1.084656,199,61.27,2260,3710,128,246
BOPP,1.0304232,196,60.61,2222,3851,139,247
BOPP,1.0982142,230,54.81,2292,3632,148,242
BOPP,0.6236772,186,62.94,2246,3648,125,252
BOPP,1.0439814,221,51.21,2294,3680,148,234
BOPP,0.745701,65,142,3362,2004,278,118
BOPP,0.7728174,42,175,3211,2100,235,134
BOPP,0.7863756,62,145,3239,2040,250,123
BOPP,0.7863756,57,168,3155,2061,254,137
BOPP,0.813492,65,190,3204,2082,258,145
BOPP,0.6236772,166,21.12,1600,2927,106,167
BOPP,0.5558862,182,22.02,1866,2621,125,171
BOPP,0.6372354,194,27.67,1934,2586,117,183
BOPP,0.5152116,178,23.32,1677,2629,893,174
BOPP,0.610119,178,27.47,1652,2628,111,182
BOPP,0.474537,64.66,15.86,2173,3633,165,256
BOPP,0.4338624,70.02,16.41,2275,3483,164,265
BOPP,0.4474206,66.53,16.92,2318,3714,168,224
BOPP,0.4474206,63.54,15.87,2190,3281,163,273
BOPP,0.4474206,69.8,10.74,2058,3443,173,234
BOPP,0.5830026,130,54.57,2049,3000,120,188
BOPP,0.542328,118,68.89,1956,3163,115,209
BOPP,0.542328,130,66.46,2019,2936,120,203
BOPP,0.5287698,129,62.11,2012,3014,125,196
BOPP,0.4880952,117,64.31,2002,3087,119,198
BOPP,0.9761904,213,47.39,2078,3609,123,282
BOPP,1.0575396,170,50.51,1967,3454,108,272
BOPP,1.0982142,224,48.71,2089,3618,126,271
BOPP,1.0304232,210,34.73,2072,3522,130,240
BOPP,1.152447,224,38.88,2065,3575,125,265
BOPP,0.7185846,185,48.72,1768,2994,102,248
BOPP,0.6914682,218,51.52,1741,3056,113,242
BOPP,0.610119,173,43.93,1772,2909,100,225
BOPP,0.6914682,170,46.57,1868,3281,96,255
BOPP,0.5152116,218,45.11,1774,2997,115,247
BOPP,1.0710978,249,42.34,1943,3307,133,244
BOPP,1.152447,256,60.26,2008,3173,132,278
BOPP,1.2066798,235,69.76,1969,3226,128,290
BOPP,1.1117724,220,50.67,1998,3242,127,266
BOPP,1.2066798,227,65.83,1966,3269,125,286
BOPP,1.0033068,196,46.69,2162,3475,129,233
BOPP,0.6643518,193,31.1,2169,3443,132,207
BOPP,0.9219576,230,58.49,2230,3386,140,261
BOPP,0.5830026,161,40.51,2239,3492,117,227
BOPP,0.67791,230,43.52,2146,3449,144,235
BOPP,0.6643518,165,18.3,2069,3191,118,208
BOPP,0.7728174,169,33.8,2052,3505,120,296
BOPP,0.7592592,164,19.59,2118,3372,118,221
BOPP,0.6236772,172,15.14,2029,3480,124,192
BOPP,0.5152116,128,14.19,2114,3743,102,186
BOPP,0.5016534,121,25.44,2042,3252,111,209
BOPP,0.5287698,142,16.4,2099,3234,124,161
BOPP,0.542328,149,32.47,2022,3253,124,228
BOPP,0.4880952,117,31.72,2033,3269,109,211
BOPP,0.5016534,136,26.62,2031,3558,121,205
BOPP,0.7999338,203,56.32,1948,3586,163,268
BOPP,0.8270502,196,58.03,2060,3829,153,272
BOPP,0.7863756,188,46.11,2066,3517,146,257
BOPP,0.7321428,173,41.8,2089,3750,146,267
BOPP,0.6372354,160,63.91,2121,3712,133,324
BOPP,0.4609788,164,28.87,1991,3460,131,237
BOPP,0.610119,144,45.3,2019,3559,124,280
BOPP,0.5558862,169,29.43,1843,3427,132,250
BOPP,0.5965608,120,34.17,1967,3492,112,216
BOPP,0.3660714,168,50.56,1920,3458,132,286
BOPP,0.6914682,183,30.16,1956,3158,128,217
BOPP,0.7863756,178,38.43,2000,3198,130,246
BOPP,0.67791,203,53.68,1916,3280,138,289
BOPP,0.7592592,202,45.49,1943,3304,139,269
BOPP,0.8270502,168,42.87,1981,3314,122,249
BOPP,0.610119,201,48.06,1806,3171,118,243
BOPP,0.5965608,186,46.41,1848,3047,114,248
BOPP,0.610119,173,42.03,1859,3111,111,231
BOPP,0.6643518,180,47.63,2059,2952,115,232
BOPP,0.5965608,213,45.97,1870,2931,122,233
BOPP,0.2576058,110,26.97,1351,2155,69,138
BOPP,0.2440476,113,26.64,1321,2136,71,139
BOPP,0.3118386,109,34.06,1295,2200,69,150
BOPP,0.271164,108,33.1,1365,2120,69,141
BOPP,0.2847222,109,32.88,1388,2205,67,149
BOPP,0.6033399,82.43,90.94,2905,2816,147,192
BOPP,0.5558862,90.2,92.895,2851.5,2866.5,182,197
BOPP,0.6033399,77.085,93.035,2843,2925.5,123,165
BOPP,0.5694444,86.615,88.66,2737,2789,156.5,189.5
BOPP,0.610119,78.105,82.065,2764,2818,129.5,198.5
BOPP,0.7592592,181,30.3,2111,3649,138,255
BOPP,0.6372354,183,24.73,1947,3635,140,230
BOPP,0.7321428,156,28.76,2080,3627,127,249
BOPP,0.7050264,158,41.39,2173,3720,124,277
BOPP,0.7050264,188,45.56,1930,3076,121,257
BOPP,0.6507936,186,35.29,1947,3046,130,240
BOPP,0.7185846,163,44.45,1995,3231,120,241
BOPP,0.6643518,175,34.3,1887,3306,122,245
BOPP,0.7185846,210,44.95,1910,3164,141,244
BOPP,0.338955,112,27.47,1238,2051,66,136
